Rank ,City ,State ,Land area,km2,Water area,km2.1,Total area,km2.2,Population
1,Sitka,Alaska,2870.1,7434,1945.1,5038.0,4815.1,12471.0,8458
2,Juneau,Alaska,2704.0,7003,550.7,1426.0,3254.7,8430.0,32255
3,Wrangell,Alaska,2556.0,6620,920.6,2384.0,3476.6,9004.0,2127
4,Anchorage,Alaska,1706.8,4421,239.9,621.0,1946.7,5042.0,291247
5,Tribune,Kansas,778.2,2016,0.0,0.0,778.2,2016.0,1182
6,Jacksonville,Florida,747.3,1935,127.2,329.0,874.5,2265.0,949611
7,Anaconda,Montana,736.7,1908,4.7,12.0,741.4,1920.0,9421
8,Butte,Montana,715.8,1854,0.6,1.6,716.3,1855.0,34494
9,Houston,Texas,640.4,1659,31.2,81.0,671.7,1740.0,2304580
10,Oklahoma City,Oklahoma,606.2,1570,14.3,37.0,620.5,1607.0,681054
11,Phoenix,Arizona,518.0,1342,1.1,2.8,519.1,1344.0,1608139
12,San Antonio,Texas,498.8,1292,5.8,15.0,504.6,1307.0,1434625
13,Nashville,Tennessee,475.8,1232,21.7,56.0,497.5,1289.0,689447
14,Los Angeles,California,469.5,1216,32.1,83.0,501.6,1299.0,3898747
15,Statenville,Georgia,420.4,1089,0.3,0.78,420.7,1090.0,3697
16,Suffolk,Virginia,399.2,1034,29.7,77.0,428.9,1111.0,94324
17,Buckeye,Arizona,393.0,1018,0.2,0.52,393.2,1018.0,91502
18,Indianapolis ,Indiana,361.6,937,6.3,16.0,367.9,953.0,887642
19,Fort Worth,Texas,347.3,900,8.3,21.0,355.5,921.0,918915
20,Dallas,Texas,339.6,880,43.9,114.0,383.4,993.0,1304379
21,Chesapeake,Virginia,338.5,877,12.5,32.0,350.9,909.0,249422
22,San Diego,California,325.9,844,46.5,120.0,372.4,965.0,1386932
23,Louisville ,Kentucky,324.9,841,16.5,43.0,341.4,884.0,633045
24,Austin,Texas,319.9,829,6.6,17.0,326.5,846.0,961855
25,Kansas City,Missouri,314.7,815,4.1,11.0,318.8,826.0,508090
26,Charlotte,North Carolina,308.3,798,2.0,5.2,310.3,804.0,874579
27,Augusta ,Georgia,302.3,783,4.2,11.0,306.5,794.0,202081
28,New York City,New York,300.5,778,172.0,445.0,472.4,1224.0,8804190
29,Memphis,Tennessee,297.0,769,7.6,20.0,304.6,789.0,633104
30,Lexington,Kentucky,283.6,735,1.9,4.9,285.5,739.0,322570
31,El Paso,Texas,258.4,669,0.8,2.1,259.2,671.0,678815
32,Macon,Georgia,249.4,646,5.5,14.0,254.9,660.0,157346
